Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
Teacher empowerment platform,,Bangalore,India Educational Investment Fund,Seed Funding,
Multilingual Test Preparation Platform,,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,"7,70,000"
Industrial Tools Marketplace,,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,"92,00,000"
Non Profit Organization to alleviate poverty,,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed Funding,"3,15,000"
Gym & Fitness Studios Subscription platform,,New Delhi,Green House Ventures,Seed Funding,"1,00,000"
pre-used luxury item Marketplace,,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed Funding,
pre-used apparel shopping mobile app,,Bangalore,,Seed Funding,"10,00,000"
Home Design & D\\xc3\\xa9cor platform,,New Delhi,Subodh Gupta,Seed Funding,
Used Vehicles Marketplace,,Mumbai,Eight Road Ventures,Private Equity,"1,50,00,000"
Online Bus & Cab ticketing platform,,Hyderabad,Ash Bhardwaj,Private Equity,
Mobile App testing platform,,Hyderabad,Bessemer Venture Partners,Seed Funding,"12,00,000"
Hyperlocal Delivery Services,,Gurgaon,Eight Roads Ventures,Private Equity,"90,00,000"
Early Cancer Detection Solutions,,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,"30,00,000"
Cab rental Mobile app,,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,"22,50,00,000"
Online Insurance Distribution Platform,,Mumbai,Cataraman Ventures,Private Equity,"20,00,000"
Mobile Marketing Automation Platform,,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,"42,50,000"
Prepaid Mobile Bill Manager App,,Bangalore,Nandan Nilekani,Seed Funding,
Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed Funding,"10,00,000"
Branded Budget Hotel Marketplace,,Noida,Payal Syal,Seed Funding,"3,00,000"
Home Fitting & Fixtures Marketplace,,Bangalore,Sandeep Dama & Others,Seed Funding,
Food Subscription platform,,Bangalore,Eight Roads Ventures,Private Equity,"1,00,00,000"
Wedding Planning Platform,,Gurgaon,Indian Angel Network,Seed Funding,"4,10,000"
B2B Mobile Auction Marketplace,,Mumbai,Oliphans Capital,Seed Funding,"4,50,000"
ECommerce Data Analytics Platform,,Bangalore,Kalaari Capital,Private Equity,
Designer Merchandize Marketplace,,Mumbai,Applyifi,Seed Funding,
Private label Fashion eTailer,,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,"7,50,00,000"
Online Food ordering & delivery,,Gurgaon,High Networth Individuals (No details),Seed Funding,"6,00,000"
Real Estate Broker Platform App,,New Delhi,"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",Seed Funding,"3,50,000"
Online Health & Wellness platform,,Bangalore,"Accel Partners, Subrata Mitra, Larry Braitman, Venk Krishna",Private Equity,"11,50,000"
Internet of Things platform,,New Delhi,Undisclosed,Seed Funding,"1,50,000"
Diagnostic Labs aggregator platform,,Gurgaon,Multiple investors,Seed Funding,"1,50,000"
Hyperlocal Delivery Platform,,Bangalore,"Aprameya Radhakrishna, Naman Sarawagi, Afsal Salu,",Seed Funding,
Home Medical Care Services,,Bangalore,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",Private Equity,"3,75,00,000"
Real-Time stock data platform,,Bangalore,Rainmatter,Seed Funding,"2,35,000"
Food discovery & table booking app,,Mumbai,"Anand Mahindra, Uday Punj, Ashish Hemrajani, Sanjeev Mehra",Seed Funding,
coupons and cashback aggregator app,,Mumbai,500 Startups,Seed Funding,"1,25,000"
Financial Products lead generation platform,,Mumbai,Prakhar Bumb,Seed Funding,
Sustainable Agri-inputs Firm,,Bangalore,"Unitus Seed Fund, Rianta Capital, R Ramaraj, Sunil Edwards",Seed Funding,
Financial Services Portal,,Mumbai,"Kalaari Capital, YourNest Angel Fund",Private Equity,"30,00,000"
Pre-owned games Marketplace,,New Delhi,Lead Angels,Seed Funding,
Content-based Subscription eCommerce platform,,New Delhi,"Karan Bajwa, Amanpreet Bajaj, Manish Vij",Seed Funding,
"virtual reality, 3d simulation and stereoscopic products",,Bangalore,Swarnim Multiventures,Private Equity,"8,00,000"
Online Interior Designing platform,,Bangalore,Bhavdeep Reddy,Seed Funding,"4,00,000"
End-to-end Logistics platform,,Mumbai,Paytm,Private Equity,"1,00,00,000"
Private Label Apparel sales,,New Delhi,Asha Jadeja Motwani & Others,Seed Funding,"3,00,000"
Healthcare Consulting platform,,Gurgaon,Rajat Malhotra,Seed Funding,
Stock Market Portal,,Bangalore,"Sharad Sharma, Vijay Anand, Mohandas Pai. Pallav Nadhani, Singapore Angels Network & others",Seed Funding,
Cross-device retargeting platform,,Gurgaon / SFO,M&S Partners,Private Equity,"12,00,000"
Digital & Physical Publishing platform,,New Delhi,"William Bissell, Neeraj Aggarwal, Nandan Nilekani",Private Equity,"22,50,000"
Food Delivery Platform,,New Delhi,"Phanindra Sama, Anupam Mittal, Vijay Shekhar Sharma, Vishal Gondal, Sateesh Andara & others",Private Equity,"17,50,000"
Data Driven Publishing platform,,Bangalore,Raghav Bahl,Private Equity,"33,00,000"
Employee OnBoarding & Orientation platform,,Noida,"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",Seed Funding,"4,00,000"
Solar Power Solutions company,,Hyderabad,"Infuse Ventures, The Chennai Angels",Private Equity,"20,00,000"
Online Meat Ordering platform,,Bangalore,"Kanwaljit Singh, TV Mohandas Pai",Seed Funding,"10,00,000"
online meal-booking platform for train travelers,,New Delhi,Astarc Ventures & Others,Seed Funding,
hyperlocal delivery platform,,New Delhi,"500 Startups, Mato Peric & Others",Seed Funding,
Cab Booking app platform,,Bangalore,Didi Kuaidi,Private Equity,"3,00,00,000"
E-Commerce & M-Commerce platform,,New Delhi,"Alibaba Group, Ant Financial",Private Equity,"68,00,00,000"
Mobile Advertising platform,,Bangalore,Tennenbaum Capital Partners & Others,Private Equity,"10,00,00,000"
Hyperlocal Grocery Delivery,,Gurgaon,"Sequoia India, SAIF Partners.",Private Equity,"3,60,00,000"
Ecommerce Product recommendation platform,,Pune,Mayank Singhal and others,Seed Funding,
Activity Based Social Network,,Chennai,The Chennai Angels,Seed Funding,
Fashion Discovery platform,,New Delhi,Uniqorn Ventures,Seed Funding,"3,50,000"
Consumer lending marketplace,,Bangalore,"Zishaan Hayath, Rahul Khanna & Others",Seed Funding,
Big Data Management Platform,,Bangalore / USA,"Nexus Venture Partners, Knoll Ventures and others",Private Equity,"50,00,000"
Budget Accommodation Platform,,Noida,Jungle Ventures,Seed Funding,"10,00,000"
Local Mobile OS,,Gurgaon,"Kunal Bahl, Rohit Bansal, Pranay Chulet, Naveen Tiwari, Amit Gupta, Mayank Singhal",Seed Funding,
Digital Signal processing platform,,Bangalore,"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",Seed Funding,"10,00,000"
Ecommerce Marketplace,,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,"50,00,00,000"
Restaurant Discount app,,Pune,Mohandas Pai & others,Seed Funding,"4,00,000"
Tech-enabled learning,,New Delhi,Alok Mittal,Seed Funding,
ECommerce Logistics provider,,New Delhi,Aavishkaar,Private Equity,"50,00,000"
on-demand home beauty and wellness portal,,Mumbai,VentureNursery,Seed Funding,
Self Driven Car rental,,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,
Budget Hotel accommodation brand,,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,\\xc2\\xa0 Lightspeed India",Private Equity,"10,00,00,000"
Energy & Environment Online Marketplace,,Bangalore,Infuse Ventures,Seed Funding,
User Engagment & Analytics platform,,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,"96,00,000"
On-Demand Delivery Logistics,,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,"13,00,000"
fund raising platform for startups,,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"6,50,000"
Logistics Tech Platform,,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,"13,00,000"
Online budget hotel chain,,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,"3,00,00,000"
Hyperlocal Handyman services,,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,"30,00,000"
hotel booking app,,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,"5,00,000"
Rental Accomodation finder,,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,
Tech Platform for property brokers,,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"7,85,000"
Luxury Apparel rental,,Bangalore,Tracxn Labs,Seed Funding,
App security\\xc2\\xa0 testing platform,,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"5,00,000"
Doctor Appointment booking app,,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,"9,00,00,000"
anonymous bulletin board app,,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,
Travel community platform,,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,
Crowd funding platform,,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"7,00,000"
Mobile based PoS solution,,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,"2,50,00,000"
Car & Bike ecommerce platform,,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,
Fast food Chain Franchisee,,Gurgaon,YouWeCan Ventures,Seed Funding,"6,30,000"
Loyalty Programs & Reward Points,,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"5,00,000"
Energy saving solutions provider,,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,
Self-Storage Spaces,,Noida,Bedrock Ventures,Seed Funding,
Grocery retail Mobile app,,New Delhi,Best Foodworks,Seed Funding,
Taxi Rental platform,,Gurgaon,"Nihon Kotsu,",Private Equity,"5,00,000"
ecommerce,,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"80,000"
Machine Learning Platform,,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,
mobile social network,,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,"2,50,000"
Hyper-Local Ecommerce,,New Delhi,Sequoia Capital,Private Equity,"1,60,00,000"
Online printing marketplace,,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,"2,50,000"
mobile payment software platform,,Bangalore,Reliance Capital Venture,Private Equity,"10,00,000"
Automated Storage & Warehousing Solution,,Gurgaon,Tiger Global Management,Private Equity,"3,00,00,000"
Home Design & D\\xc3\\xa9cor solutions,,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,"80,00,000"
Quick Service Restaurant Chain,,Kolkata,Indian Angel Network,Seed Funding,"16,00,000"
Subscription based Online Grocery platform,,Pune,Ajeet Khurana & Others,Seed Funding,"1,00,000"
engineering services company,,Mumbai,Zodius Technology Fund,Private Equity,"2,00,00,000"
Business and IT consulting,,New Delhi / US,ChrysCapital,Private Equity,"6,30,00,000"
Credit Card Fraud protection solutions,,Mumbai,"Sequoia Capital, Lightspeed Ventures",Private Equity,"75,00,000"
Online & mobile Grocery store,,Bangalore,Bessemer Venture Partners,Private Equity,"5,00,00,000"
Career Community for Women,,Noida,"Quintillion Media, 500 Startups",Seed Funding,"7,70,000"
Mutual Fund Investing platform,,Bangalore,"Accel Partners, Deep Kalra, Rajesh Magow, Mohit Gupta, Shamik Sharma",Private Equity,"25,00,000"
Ecommerce Marketing Software Platform,,Noida,"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &\\xc2\\xa0 Group of other Angel investors",Seed Funding,"5,00,000"
Financial Inclusion platform,,Chennai,"Accion, LeapFrog Investments, Lok Capital",Private Equity,"2,50,00,000"
Digital Marketing automation solution,,Mumbai,"LetsVenture, Mumbai Angels",Seed Funding,
Mobile Commerce for Farmers,,Pune,IDG Ventures,Private Equity,"40,00,000"
Picture based Social App,,Mumbai,Jitendra Gupta & others,Seed Funding,"1,00,000"
Logistics service platform,,Ahmedabad,"Gujarat based angel investors, MMY co-Founder",Seed Funding,"2,45,000"
On-Demand Beauty Services,,New Delhi,Group of angel investors,Seed Funding,
Exam Preparation Platform,,New Delhi,Nalin Jain & other angel investors,Seed Funding,"2,20,000"
Startup Focused Online Publisher,,Mumbai,"Ratan Tata, Vani Kola, T V Mohandas Pai, Karthee Madasamay",Seed Funding,
Waste Management Solutions,,Mumbai,"Intellecap Impact Investment Network, family office fund",Seed Funding,"1,60,000"
App based Fitness coaching,,Bangalore,Existing & New Investors,Private Equity,
On demand cleaning & fixing services,,Mumbai,VentureNursery,Seed Funding,
Beauty & Lifestyle platform,,New Delhi,Rohit Goel,Seed Funding,
on-demand delivery service,,Gurgaon,"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",Seed Funding,"3,10,000"
Car & Bike ecommerce platform,,New Delhi,One97 Communications,Private Equity,
Fashion Discovery platform,,Gurgaon,Tiger Global,Private Equity,"1,50,00,000"
Data Analytics Platform,,Mumbai,"New Enterprise Associates, Orios Venture Partners",Private Equity,"42,00,000"
Deep Learning Cloud Algorithms,,Chennai,"NEA, Milliways Ventures, Naya Ventures",Seed Funding,"10,00,000"
Location based engagement & rewards platform,,Gurgaon,"Rohit Bhatia, Sunil Nikhar, Vaibhav Domkundwar, Siddharth Nautiyal",Seed Funding,
Online Identity Verification Services platform,,Mumbai,"NEA, Blume Ventures & others",Private Equity,
Corporate Wellness App,,Bangalore,RoundGlass Partners,Private Equity,"10,00,000"
Fashion Search & Review Platform,,Kolkata,Umesh Yadav,Seed Funding,
"Hyperlocal Maintenance, Repair & Cleaning services",,Mumbai,Unilazer Ventures,Private Equity,"24,00,000"
pre-owned Luxury online apparel seller,,Mumbai,"Manish Dhingra, Ankush Nijhawa, Gaurav Bhatnagar",Seed Funding,
Online Furniture Marketplace,,Bangalore,AskMe,Private Equity,"2,00,00,000"
Online Diagnostic Tests Marketplace,,New Delhi,Group of Angel Investors,Seed Funding,"1,56,000"
Online marketplace for Photographers,,Hyderabad,Indian Angel Network,Seed Funding,"6,00,000"
Visual Blogging platform,,New Delhi,"ah! Ventures, Times Internet, Rudy Gopalakrishnan",Seed Funding,"6,00,000"
Job Search Platform,,Bangalore,"Orios Venture Partners, Amit Ranjan & others",Seed Funding,"5,00,000"
Food Customer analytics platform,,Ahmedabad,The 1947,Seed Funding,"3,00,000"
Professional Service Appointment booking service,,Mumbai,Ajmera Group of Companies,Seed Funding,"4,00,000"
Scientific Horoscope Online Assistance platform,,Kolkata,Prime Capital Markets Ltd,Seed Funding,
Tech enabled AC bus service,,Mumbai,"India Quotient, Anupam Mittal & others",Seed Funding,
On-Demand App based Professional service provider,,Bangalore,"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",Private Equity,"10,00,000"
Restaurant Reservation Platform,,Gurgaon,"DSG Consumer Partners, Saama Capital",Private Equity,"30,00,000"
Cross-channel CRM platform,,Mumbai,"Norwest Venture Partners, Nexus Venture Partners, Helion Venture Partners, Draper Fisher Jurvetson, Peepul Capital",Private Equity,"40,00,000"
Professional Custom creators Marketplace,,Pune,Group of Angel Investors,Seed Funding,"2,50,000"
on-Demand Washing & Dry-Cleaning,,New Delhi,GHV Accelerator,Seed Funding,"1,00,000"
On-Demand Beauty Service,,Mumbai,"India Quotient, LetsVenture investors, Lead Angels",Seed Funding,"4,00,000"
solar products and services marketplace,,Ahmedabad,Infuse Ventures,Seed Funding,
Online Food Community Platform,,Gurgaon,Undisclosed Investor,Seed Funding,"5,00,000"
Private Cloud Networks SAAS platform,,Bangalore,Group of Investors,Seed Funding,
Education Marketplace,,Kolkata,Ravi Agarwal,Seed Funding,
Cloud Based Hotel Sales Platform,,New Delhi,Ibibo Group,Private Equity,
online recipe sharing platform,,New Delhi,"Growx Ventures, Manish Singhal",Seed Funding,
Beauty & Lifestyle Mobile Marketplace,,Bangalore,Rocket Internet,Private Equity,"20,00,000"
QSR Restaurant Chain,,Pune,Equentia Natural Resources,Seed Funding,"1,60,000"
Digital Media publishing platform,,Gurgaon,"Li Tao, Li Jian, Draphant Consultants, Nitin Garg, Saurabh Jain, Mohit Agarwal",Seed Funding,
Online Coffee Delivery platform,,Bangalore,"Manish Singhal, P39 Capital & Others",Seed Funding,"3,00,000"
Language Localization Cloud platform,,Bangalore,"Aspada Investment Advisors, Qualcomm Ventures",Private Equity,"40,00,000"
Big Data & predictive Analysis Platform,,Mumbai,"Ratan Tata, Nikhil Vora & others",Private Equity,
Online Logistics Platform,,Bangalore,"Delhivery, Tracxn Labs",Seed Funding,
Business IT Intelligence Services,,Mumbai,Omnivore Partners,Private Equity,
CRM / Analytics platform,,Chennai,"The Chennai Angels, IDG Ventures India",Seed Funding,"10,00,000"
Hyperlocal Electronics repair Service,,Mumbai,"Bessemer Ventures, Kae Capital",Seed Funding,"6,30,000"
Ed-Tech Platform,,New Delhi,"ah! Ventures, Vivek Joshi, Mohit Satyanand & others",Seed Funding,
Cab rental Mobile app,,Bangalore,Ratan Tata,Private Equity,
IT infrastructure & Data Center services,,Bangalore,"IFC, Axon Partners, Intel Capital",Private Equity,"1,35,00,000"
Online Financial Services,,Chennai,"Amazon, Fidelity Growth Partners, Mousse Partners",Private Equity,"6,00,00,000"
Used Car Marketplace,,Bangalore,SAIF Partners,Private Equity,"50,00,000"
Internet of Things platform,,Gurgaon,"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",Seed Funding,"1,61,000"
Language Learning App,,Jaipur,Tiger Global,Private Equity,"65,00,000"
Mobile Fitness Marketplace,,Mumbai,Vijay Shekhar Sharma,Private Equity,
Custom Merchandize platform,,Ahmedabad,"Gokul Jaykrishna, Brand Capital",Seed Funding,"10,00,000"
P2P Pre-owned goods marketplace,,Bangalore,"Rebright Partners, Tracxn Labs, Aneesh Reddy",Seed Funding,
Custom Furniture Marketplace,,Mumbai,"Powai Lake Ventures, Ajeet Khurana & others",Seed Funding,"3,95,000"
Online Tailoring Services,,Bangalore,Group of angel investors,Seed Funding,
Rail Ticket Confirmation predictor,,Bangalore,Pravin Agarwala & others,Seed Funding,
Ethnic Beverages manufacturer,,Gurgaon,"Sofina, Hillhouse Capital",Private Equity,"3,00,00,000"
Hyperlocal Goods marketplace,,Nagpur,Atulya Mittal,Seed Funding,
Budget Accommodation aggregator,,Gurgaon,"Mangroves Capital Partners, Vikas Saxena",Private Equity,"30,00,000"
Real Estate Rating & Analysis,,New Delhi,DMG information Asia Pacific,Private Equity,"50,00,000"
Food Delivery platform,,Bangalore,"Powai Lake Ventures, Globeinvestor, Abhishekh Goyal",Seed Funding,
Financial Tech,,New Delhi,"DSG Consumer Partners, Siddharth Parekh",Private Equity,
Food Discovery App,,Pune,Jaydeep Barman,Seed Funding,
Music Streaming App,,Mumbai,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",Private Equity,"10,00,00,000"
Big Data & Analytics platform,,Mumbai / Global,"Sunrise Capital GmBH, Big Data Investments B.V",Private Equity,"1,10,00,000"
Big Data & Analytics platform,,India / US,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",Private Equity,"3,00,00,000"
Coupon Aggregator Platform,,Kanpur,Not Disclosed,Seed Funding,"20,000"
Electric Scooter manufacturer,,Coimbatore,Ratan Tata,Seed Funding,
Online Food-Tech Platform,,Mumbai,Mirah Hospitality,Seed Funding,"4,70,000"
Celebrity Fashion Brand,,Bangalore,Accel Partners,Private Equity,"75,00,000"
Online Finance lending platform,,Ahmedabad,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",Private Equity,"1,00,00,000"
Healthcare Mobile App,,New Delhi,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",Private Equity,"1,02,00,000"
Self-driven vehicle rental,,Bangalore,"Sequoia Capital, Empire Angels, NGP",Private Equity,"1,10,00,000"
\\xc2\\xa0News Aggregator mobile app,,\\xc2\\xa0Noida,\\xc2\\xa0Tiger Global,Private Equity,"\\xc2\\xa020,000,000"
\\xc2\\xa0Online Jewellery Store,,\\xc2\\xa0Bangalore,"\\xc2\\xa0IvyCap Ventures, Accel Partners, Dragoneer Investment Group",Private Equity,"\\xc2\\xa016,200,000"
\\xc2\\xa0Fashion Info Aggregator App,,\\xc2\\xa0Gurgaon,"\\xc2\\xa0 Sandeep Aggarwal, Teruhide Sato",Seed Funding,\\xc2\\xa0N/A
\\xc2\\xa0Online Study Notes Marketplace,,\\xc2\\xa0New Delhi,"\\xc2\\xa0Rajeev Saraf, Arvind Jha, R. Satya Narayanan",Seed Funding,\\xc2\\xa0N/A
\\xc2\\xa0Warranty Programs Service Administration,,\\xc2\\xa0New Delhi,\\xc2\\xa0Indian Angel Network,Seed Funding,"\\xc2\\xa0600,000"
\\xc2\\xa0Pre-School Chain,,\\xc2\\xa0Gurgaon,"\\xc2\\xa0LetsVenture, Kumar Bansal, Kshitij Jain",Seed Funding,"\\xc2\\xa0685,000"
\\xc2\\xa0Premium Loyalty Rewards Point Management,,\\xc2\\xa0Mumbai,\\xc2\\xa0IndianIdeas.com,Private Equity,"\\xc2\\xa019,350,000"
\\xc2\\xa0Contact Center Software Platform,,\\xc2\\xa0Gurgaon,\\xc2\\xa0Forum Synergies PE Fund,Private Equity,"\\xc2\\xa05,000,000"
\\xc2\\xa0Casual Dining restaurant Chain,,\\xc2\\xa0New Delhi,\\xc2\\xa0Goldman Sachs,Private Equity,"\\xc2\\xa010,000,000"
\\xc2\\xa0Online Grocery Delivery,,\\xc2\\xa0Gurgaon,\\xc2\\xa0Palaash Ventures,Seed Funding,\\xc2\\xa0N/A
Online comparison engine,,Hyderabad,"Accel Partners, Helion Venture Partners",Private Equity,"1,00,00,000"
Residential Rental management platform,,Bangalore,Atul Jalan,Seed Funding,\\xc2\\xa0N/A
Physical Storage warehouses,,Mumbai,"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",Seed Funding,"3,00,000"
Tech Recruitment platform,,Bangalore,HR Technology fund,Private Equity,"75,00,000"
Bike Rental Platform,,Bangalore,Undisclosed,Seed Funding,"7,90,000"
Tech enabled logistics platform,,Mumbai,Tamarind Family Private Trust,Seed Funding,"5,00,000"
Budget Hotel Accommodation,,Gurgaon,"Softbank, Sequoia Capital",Private Equity,"10,00,00,000"
Restaurant customer engagement platform,,Pune,Jungle Ventures,Private Equity,"23,00,000"
Live video streaming app,,New Delhi,"Anupam Mittal, Anand Chandrasekaran, Uday Shankar, Chetan Bhagat",Seed Funding,
Hyper local logistics platform,,Bangalore,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",Private Equity,"1,10,00,000"
Crowd Funding Platform,,Mumbai,"Pradyumna Dalmia, Sudhir Rao & Others",Seed Funding,"7,00,000"
F&B sector Mobile Payment platform,,Mumbai,Snow Leopard Technology Ventures,Private Equity,"16,00,000"
Industrial Supplies B2B ecommerce,,Mumbai,"Sumit Gandhi, Manish Gandhi",Seed Funding,"1,00,000"
Online budget hotel chain,,New Delhi,"Tiger Global, Orios Venture Partners.",Private Equity,"1,50,00,000"
Payment Solutions platform,,Bangalore,"Catamaran Ventures, New India Investment Corporation",Private Equity,"48,50,000"
Online Hiring Platform,,Bangalore,"Tracxn Labs, Deepak Singh",Seed Funding,
Organic Food ecommerce,,New Delhi,"Mumbai Angels, Vriddhi Fund, Others",Private Equity,"10,00,000"
Big Data & Analytics platform,,Bangalore,Exfinity Venture Partners,Private Equity,"20,00,000"
Fine Dining Restaurant Chain,,Mumbai,India Value Fund Advisors,Private Equity,"3,00,00,000"
Luxury Rental Homes,,Bangalore,"Flipkart, Tiger Global",Private Equity,"1,27,50,000"
Mobile Point of Sale payment solution,,,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",Private Equity,"2,50,00,000"
Online Grocers,,Ahmedabad,Jayant Bokadia,Seed Funding,"3,20,000"
Casual Dating App,,Mumbai,IDG Ventures India,Seed Funding,
Clinical Genomics Provider,,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000"
Travel information portal,,Bangalore,MakeMyTrip,Private Equity,"1,50,00,000"
Fitness Marketplace,,Mumbai,Exfinity Venture Partners,Private Equity,"10,00,000"
Online & Mobile classified listings,,Mumbai,"AB Kinnevik, Falcon Edge Capital, Coatue Management",Private Equity,"6,00,00,000"
Private Jet/ Helicopter Marketplace,,New Delhi,YourWeCan Ventures,Seed Funding,
Real Estate Broker network App,,Gurgaon,Lightspeed India,Private Equity,"10,00,000"
Ethnic/ Traditional Fashion Store,,New Delhi,Indian Angel Network,Seed Funding,
Used Bikes Marketplace,,Mumbai,Fidelity Growth Partners,Private Equity,"1,50,00,000"
Spa & Salon Management Software,,Hyderabad,Accel Partners,Private Equity,"60,00,000"
B2B logistics delivery platform,,Bangalore,Lightspeed Venture Partners,Seed Funding,
Logistics Automation Platform,,Bangalore,"growX ventures,\\xc2\\xa0 Manish Singhal",Seed Funding,
Online Hiring Platform,,Bangalore,Varun Agarwal & Others,Seed Funding,
Online home d\\xc3\\xa9cor marketplace,,Mumbai,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",Private Equity,"10,00,00,000"
Online Marketplace,,Bangalore,Steadview Capital and existing investors,Private Equity,"70,00,00,000"
Hyperlocal food & grocery store,,Bangalore,"Accel Partners, Traxcn Labs & Others",Seed Funding,"13,00,000"
Health-Tech platform,,Mumbai,"Sandeep Parwal, Krishan Gupta & Others",Seed Funding,"10,00,000"
Hyperlocal Handyman Services,,Mumbai,"IDG Ventures India, Omidyar Network, Sherpalo Ventures,\\xc2\\xa0 Mohandas Pai",Private Equity,"20,00,000"
Medical Tech Instruments,,New Delhi,"Sachin and Binny Bansal, Malvinder and Shivinder Singh, Gurpreet Singh & others",Seed Funding,"24,00,000"
Hyperlocal Deals Marketplace,,Bangalore,"Paytm, SAIF Partners,\\xc2\\xa0 Tiger Global Management & others",Private Equity,"5,00,00,000"
Innovative Water Solutions,,Gurgaon,Abhishek Gupta,Private Equity,"12,00,000"
Online Jewelry Store,,Mumbai,LionRock Capital,Private Equity,"6,00,000"
Business intelligence & Analytics,,Mumbai,SIDBI Venture Capital Ltd,Private Equity,"24,00,000"
Used Vehicle Marketplace,,New Delhi,"Lightbox Ventures, Beenos",Private Equity,"1,60,00,000"
Educational Board Games,,Bangalore,"Kunal Bahl, Rohit Bansal",Seed Funding,"1,68,000"
Chinese food delivery,,Mumbai,"Elliot Stechman, Gautam Sinha, Ambarish Ray",Seed Funding,"1,68,000"
On-Demand Laundry & Dry cleaning App,,Chennai,B S Nagesh,Private Equity,
On-Demand Car services App,,Bangalore,"YouWeCan Ventures,\\xc2\\xa0 Aprameya Radhakrishna",Seed Funding,
Hyperlocal Grocery App,,Gurgaon,"Jai Choi, Kiyohiro Sugashita, Hirokazu",Private Equity,"5,00,000"
Online Curated Holiday package bookings,,Bangalore,"Aarin Capital Partners,",Private Equity,
